date,JPM,MSFT
02/01/1990,3.643226,0.392357
03/01/1990,3.764665,0.394568
04/01/1990,3.779847,0.406173
05/01/1990,3.795025,0.396226
08/01/1990,3.795025,0.402304
09/01/1990,3.673585,0.401199
10/01/1990,3.658405,0.390147
11/01/1990,3.612864,0.38241
12/01/1990,3.582504,0.380752
15/01/1990,3.582504,0.380752
16/01/1990,3.567324,0.392357
17/01/1990,3.552145,0.386831
18/01/1990,3.521785,0.419988
19/01/1990,3.506602,0.41612
22/01/1990,3.400343,0.401199
23/01/1990,3.309263,0.396778
24/01/1990,3.324442,0.401199
25/01/1990,3.294083,0.401199
26/01/1990,3.218181,0.401199
29/01/1990,3.142281,0.404515
30/01/1990,3.066383,0.40341
31/01/1990,3.127101,0.408936
01/02/1990,3.157462,0.414462
02/02/1990,3.172641,0.414462
05/02/1990,3.157462,0.416673
06/02/1990,3.142281,0.415567
07/02/1990,3.157462,0.412251
08/02/1990,3.157462,0.416673
09/02/1990,3.142281,0.417778
12/02/1990,3.157462,0.418883
13/02/1990,3.127101,0.418883
14/02/1990,3.203,0.419988
15/02/1990,3.278902,0.42883
16/02/1990,3.294083,0.433251
20/02/1990,3.203,0.443198
21/02/1990,3.187823,0.424962
22/02/1990,3.142281,0.426067
23/02/1990,3.09674,0.43104
26/02/1990,3.157462,0.438777
27/02/1990,3.09674,0.433251
28/02/1990,3.111921,0.436567
01/03/1990,3.09674,0.442092
02/03/1990,3.157462,0.458671
05/03/1990,3.203,0.465303
06/03/1990,3.233363,0.461987
07/03/1990,3.248541,0.454251
08/03/1990,3.339622,0.469723
09/03/1990,3.268648,0.470829
12/03/1990,3.346471,0.478565
13/03/1990,3.346471,0.469723
14/03/1990,3.315343,0.476908
15/03/1990,3.25308,0.490723
16/03/1990,3.190821,0.503986
19/03/1990,3.221951,0.515038
20/03/1990,3.12856,0.499565
21/03/1990,3.066302,0.50067
22/03/1990,3.00404,0.491828
23/03/1990,3.12856,0.487407
26/03/1990,3.035171,0.492933
27/03/1990,3.019607,0.497354
28/03/1990,3.00404,0.490723
29/03/1990,2.957347,0.488513
30/03/1990,2.910651,0.489618
02/04/1990,2.863956,0.492933
03/04/1990,2.957347,0.512828
04/04/1990,2.957347,0.517249
05/04/1990,2.863956,0.506196
06/04/1990,2.848392,0.505091
09/04/1990,2.895086,0.506196
10/04/1990,2.895086,0.521669
11/04/1990,2.910651,0.534932
12/04/1990,3.050736,0.533827
16/04/1990,3.00404,0.537143
17/04/1990,3.019607,0.548195
18/04/1990,3.00404,0.536037
19/04/1990,2.972912,0.52609
20/04/1990,2.895086,0.52388
23/04/1990,2.957347,0.521669
24/04/1990,2.988475,0.512828
25/04/1990,2.988475,0.512828
26/04/1990,2.957347,0.507301
27/04/1990,2.94178,0.497354
30/04/1990,2.910651,0.512828
01/05/1990,2.957347,0.505091
02/05/1990,2.926217,0.515038
03/05/1990,2.957347,0.521669
04/05/1990,3.09743,0.545985
07/05/1990,3.15969,0.565879
08/05/1990,3.144128,0.554827
09/05/1990,3.081866,0.554827
10/05/1990,3.112996,0.570299
11/05/1990,3.206386,0.579141
14/05/1990,3.25308,0.581352
15/05/1990,3.346471,0.57251
16/05/1990,3.299775,0.57251
17/05/1990,3.299775,0.57251
18/05/1990,3.330905,0.603457
21/05/1990,3.346471,0.62114
22/05/1990,3.362036,0.632193
23/05/1990,3.362036,0.670875
24/05/1990,3.362036,0.676402
25/05/1990,3.377602,0.656508
29/05/1990,3.408732,0.66535
30/05/1990,3.408732,0.66756
31/05/1990,3.408732,0.645455
01/06/1990,3.486556,0.664245
04/06/1990,3.53325,0.676402
05/06/1990,3.579947,0.648771
06/06/1990,3.564381,0.645455
07/06/1990,3.548816,0.636614
08/06/1990,3.53325,0.649876
11/06/1990,3.524319,0.662034
12/06/1990,3.508373,0.670875
13/06/1990,3.444586,0.676402
14/06/1990,3.380795,0.66756
15/06/1990,3.348902,0.671981
18/06/1990,3.317006,0.662034
19/06/1990,3.364848,0.663139
20/06/1990,3.269166,0.686349
21/06/1990,3.285114,0.680822
22/06/1990,3.20538,0.66977
25/06/1990,3.125642,0.658718
26/06/1990,3.157536,0.660928
27/06/1990,3.253219,0.674192
28/06/1990,3.285114,0.676402
29/06/1990,3.253219,0.671981
02/07/1990,3.253219,0.652087
03/07/1990,3.253219,0.636614
05/07/1990,3.269166,0.638824
06/07/1990,3.253219,0.647666
09/07/1990,3.253219,0.656508
10/07/1990,3.157536,0.652087
11/07/1990,3.173484,0.66756
12/07/1990,3.109695,0.685244
13/07/1990,3.141591,0.69298
16/07/1990,3.061853,0.700716
17/07/1990,3.109695,0.687454
18/07/1990,3.157536,0.671981
19/07/1990,3.157536,0.678612
20/07/1990,3.093748,0.647666
23/07/1990,3.029959,0.636614
24/07/1990,3.045905,0.614509
25/07/1990,3.077802,0.632193
26/07/1990,3.045905,0.607877
27/07/1990,2.998065,0.610088
30/07/1990,2.982118,0.601246
31/07/1990,2.934277,0.587983
01/08/1990,2.806699,0.590194
02/08/1990,2.695071,0.583563
03/08/1990,2.631279,0.559247
06/08/1990,2.726963,0.534932
07/08/1990,2.870486,0.541563
08/08/1990,2.998065,0.561458
09/08/1990,3.029959,0.575826
10/08/1990,3.014012,0.570299
13/08/1990,3.061853,0.574721
14/08/1990,3.077802,0.568089
15/08/1990,2.998065,0.568089
16/08/1990,2.950224,0.545985
