date,MSFT,BRKA,MMM,KO,JPM
01/01/1990,0.408936,7455,8.189508,0.909167,2.968658
01/02/1990,0.436567,7225,8.399158,0.930618,2.954247
01/03/1990,0.489618,6725,8.607766,0.986719,2.694849
01/04/1990,0.512827,6700,8.396209,1.104159,2.763176
01/05/1990,0.645455,7150,8.739991,1.306889,3.23602
01/06/1990,0.671981,7200,9.24491,1.285169,3.014375
01/07/1990,0.587983,7000,9.645128,1.363428,2.785605
01/08/1990,0.543774,6400,8.404463,1.269528,2.619074
01/09/1990,0.557037,5875,8.304633,1.186897,1.877255
01/10/1990,0.563668,5950,8.506531,1.401641,1.263842
01/11/1990,0.638824,6345,8.748805,1.444589,1.419872
01/12/1990,0.665349,6675,9.318116,1.505033,1.341857
01/01/1991,0.867607,7400,9.223032,1.577857,1.669819
01/02/1991,0.917343,8075,9.61695,1.695185,2.099201
01/03/1991,0.938341,8025,9.699862,1.755871,2.210523
01/04/1991,0.875344,8125,9.768363,1.772454,2.645356
01/05/1991,0.970393,8750,10.439692,1.923657,2.758267
01/06/1991,0.903527,8400,10.353348,1.831254,2.758267
01/07/1991,0.974814,8525,9.703671,2.09351,3.341138
01/08/1991,1.130652,8775,9.606913,2.289368,3.455225
01/09/1991,1.180388,8875,10.056992,2.245845,3.308541
01/10/1991,1.245044,8570,10.154628,2.390305,3.257781
01/11/1991,1.289805,8350,9.680373,2.488968,2.780632
01/12/1991,1.475485,9050,10.723948,2.961848,2.797086
01/01/1992,1.59485,8850,10.245449,2.86035,3.74098
01/02/1992,1.637954,8725,10.245449,3.017209,4.492516
01/03/1992,1.571639,8950,10.079774,3.017209,4.375612
01/04/1992,1.462222,9125,10.64765,3.152882,4.735492
01/05/1992,1.604796,9100,10.860602,3.342816,4.920868
01/06/1992,1.392592,9225,11.110575,3.038922,5.005129
01/07/1992,1.447301,9525,11.4542,3.222744,4.740092
01/08/1992,1.482116,9125,11.282394,3.309322,4.417289
01/09/1992,1.60148,9400,11.835,3.116921,4.434276
01/10/1992,1.765608,9475,11.878299,3.167195,4.716175
01/11/1992,1.852645,10725,11.777267,3.098979,5.144918
01/12/1992,1.698465,11750,11.709124,3.31014,5.299263
01/01/1993,1.720846,12100,11.403666,3.349663,5.617149
01/02/1993,1.658676,12475,12.276398,3.349663,5.599864
01/03/1993,1.840211,12750,12.843501,3.369425,5.582582
01/04/1993,1.700952,12650,13.048762,3.161658,5.331941
01/05/1993,1.842698,15000,13.239358,3.332289,5.349368
01/06/1993,1.750687,15400,12.761296,3.452732,5.697857
01/07/1993,1.472169,16000,12.406814,3.531925,5.795805
01/08/1993,1.494549,17525,12.953307,3.542134,5.707993
01/09/1993,1.641269,16675,12.249321,3.450261,6.322698
01/10/1993,1.59402,17250,12.353505,3.598883,5.679505
