AAPL;JPM;MSFT
Date,Open,High,Low,Close,Adj Close,Volume;Date,Open,High,Low,Close,Adj Close,Volume;Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,42.540001,43.075001,42.314999,43.064999,41.380238,102223600;2018-01-02,107.629997,108.019997,106.809998,107.949997,98.044830,13578800;2018-01-02,86.129997,86.309998,85.500000,85.949997,82.194328,22483800
2018-01-03,43.132500,43.637501,42.990002,43.057499,41.373032,118071600;2018-01-03,107.860001,108.489998,107.480003,108.059998,98.144745,11901000;2018-01-03,86.059998,86.510002,85.970001,86.349998,82.576843,26061400
2018-01-04,43.134998,43.367500,43.020000,43.257500,41.565216,89738400;2018-01-04,108.360001,110.029999,108.199997,109.040001,99.550728,12953700;2018-01-04,86.589996,87.660004,86.570000,87.110001,83.303658,21912000
2018-01-05,43.360001,43.842499,43.262501,43.750000,42.038452,94640000;2018-01-05,109.260002,109.550003,107.779999,108.339996,98.911636,14155000;2018-01-05,87.660004,88.410004,87.430000,88.190002,84.336464,23407100
2018-01-08,43.587502,43.902500,43.482498,43.587502,41.882305,82271200;2018-01-08,108.150002,108.680000,107.699997,108.500000,99.057709,12466500;2018-01-08,88.199997,88.580002,87.599998,88.279999,84.422516,22113000
2018-01-09,43.637501,43.764999,43.352501,43.582500,41.877506,86336000;2018-01-09,108.720001,109.629997,108.489998,109.050003,99.559853,13292300;2018-01-09,88.650002,88.730003,87.860001,88.220001,84.365158,19484300
2018-01-10,43.290001,43.575001,43.250000,43.572498,41.867889,95839600;2018-01-10,109.470001,110.699997,109.389999,110.250000,100.655426,15834500;2018-01-10,87.860001,88.190002,87.410004,87.820000,83.982628,18652200
2018-01-11,43.647499,43.872501,43.622501,43.820000,42.105709,74670800;2018-01-11,110.669998,110.930000,110.050003,110.839996,101.194084,13676800;2018-01-11,88.129997,88.129997,87.239998,88.080002,84.231262,17808900
2018-01-12,44.044998,44.340000,43.912498,44.272499,42.540501,101672400;2018-01-12,111.650002,112.849998,110.839996,112.669998,102.864822,18884200;2018-01-12,88.669998,89.779999,88.449997,89.599998,85.684837,24271500
