date,month,year,IICAX,CAFAX,CMLAX,CFNAX,CGFAX,CICAX,CWMAX,AMRAX,STSEX,SHAPX,COPLX,NYVTX,DODGX,DREVX,DTCAX,DTCYX,DRTHX,CAPEX,EWMCX,FDTOX,FFIDX,FCNTX,FFDKX,FMAGX,FKGRX,FGSRX,GESSX,SECEX,IATAX,EAMTX,MFRFX,MNVAX,MPGFX,NWFAX,GTRCX,NMFAX,MUIFX,GNWRX,NEFOX,NFAAX,NGDAX,NICSX,PIODX,PIORX,PYODX,RMBHX,SLADX,SEQUX,STFGX,PRGFX,SENCX,VLLIX,VLIFX,VALSX,VFIAX
198912,12,1989,0.0074,0.0008,0.0225,-0.0084,-0.0019,0.0089,0.0258,0.0295,0.0169,0.0145,0.0378,0.0189,0.0288,0.0150,0.0411,0.0411,0.0411,0.0150,0.0246,-0.0058,0.0211,0.0151,0.0211,0.0063,0.0173,0.0173,0.0310,0.0006,0.0202,0.0126,0.0144,0.0033,0.0102,0.0253,0.0253,0.0303,0.0253,0.0253,0.0205,0.0343,0.0018,0.0084,0.0249,0.0249,0.0249,0.0342,-0.0055,-0.0016,0.0337,0.0207,0.0295,0.0088,0.0032,0.0013,0.0238
199001,1,1990,-0.0260,-0.0562,-0.0485,-0.0560,-0.0614,-0.0564,-0.0685,-0.0473,-0.0789,-0.0600,-0.0399,-0.0689,-0.0536,-0.0572,0.0093,0.0093,0.0093,-0.0540,-0.0691,-0.0598,-0.0535,-0.0530,-0.0535,-0.0645,-0.0453,-0.0453,-0.0671,-0.0691,-0.0534,-0.0613,-0.0481,-0.0820,-0.0574,-0.0700,-0.0700,-0.0529,-0.0700,-0.0700,-0.0616,-0.0634,-0.0643,-0.0660,-0.0679,-0.0679,-0.0679,-0.0455,-0.0941,-0.0472,-0.0598,-0.0639,-0.0611,-0.0861,-0.0797,-0.0741,-0.0672
199002,2,1990,0.0176,0.0112,0.0151,0.0291,0.0232,0.0125,0.0144,-0.0148,0.0087,0.0147,0.0015,0.0258,0.0186,0.0070,-0.0061,-0.0061,-0.0061,0.0017,0.0152,0.0212,0.0206,0.0208,0.0206,0.0205,0.0146,0.0146,0.0140,0.0273,0.0134,0.0173,0.0206,0.0020,0.0163,0.0068,0.0068,-0.0058,0.0068,0.0068,0.0127,0.0113,0.0129,0.0136,0.0101,0.0101,0.0101,0.0015,0.0096,0.0160,0.0191,0.0098,0.0071,0.0156,0.0173,0.0616,0.0127
199003,3,1990,0.0231,0.0291,0.0205,0.0316,0.0268,0.0255,0.0192,0.0054,0.0305,0.0254,0.0015,0.0219,0.0199,0.0201,0.0216,0.0216,0.0216,0.0334,0.0403,0.0215,0.0197,0.0216,0.0197,0.0256,0.0323,0.0323,0.0242,0.0171,0.0176,0.0185,0.0193,-0.0273,0.0380,0.0181,0.0181,0.0023,0.0181,0.0181,0.0271,0.0151,0.0194,0.0320,0.0282,0.0282,0.0282,0.0103,0.0356,0.0200,0.0393,0.0351,0.0203,0.0364,0.0426,0.0173,0.0261
199004,4,1990,-0.0274,-0.0165,-0.0162,-0.0239,-0.0146,-0.0095,-0.0317,-0.0298,-0.0189,-0.0130,-0.0196,-0.0339,-0.0298,-0.0172,-0.0106,-0.0106,-0.0106,-0.0099,-0.0416,-0.0324,-0.0257,-0.0103,-0.0257,-0.0253,-0.0061,-0.0061,-0.0248,-0.0262,-0.0259,-0.0138,-0.0254,-0.0288,-0.0362,-0.0097,-0.0097,-0.0222,-0.0097,-0.0097,-0.0247,-0.0429,-0.0394,-0.0217,-0.0375,-0.0375,-0.0375,-0.0262,-0.0231,-0.0022,0.0084,-0.0220,-0.0302,-0.0140,-0.0171,-0.0200,-0.0250
199005,5,1990,0.0730,0.1037,0.0578,0.0854,0.0974,0.0709,0.0844,0.0684,0.1042,0.0837,0.0260,0.0958,0.0923,0.0797,0.0719,0.0719,0.0719,0.1142,0.1018,0.1105,0.0743,0.0945,0.0743,0.0889,0.0736,0.0736,0.0920,0.0960,0.0724,0.0953,0.0670,0.0420,0.1111,0.0783,0.0783,0.0719,0.0783,0.0783,0.0885,0.0987,0.1025,0.0916,0.0737,0.0737,0.0737,0.0491,0.0898,0.0470,0.0917,0.1047,0.0820,0.1004,0.1008,0.0893,0.0969
199006,6,1990,-0.0099,-0.0008,-0.0176,-0.0134,-0.0172,-0.0039,-0.0241,-0.0170,0.0014,-0.0011,0.0036,0.0000,-0.0144,0.0121,0.0143,0.0143,0.0143,0.0153,-0.0231,-0.0021,-0.0060,0.0128,-0.0060,0.0043,-0.0008,-0.0008,-0.0044,-0.0035,-0.0183,0.0060,-0.0022,0.0185,0.0144,-0.0035,-0.0035,-0.0011,-0.0035,-0.0035,-0.0106,-0.0094,-0.0087,0.0063,-0.0183,-0.0183,-0.0183,-0.0039,0.0094,0.0223,0.0014,0.0116,-0.0026,0.0158,0.0088,0.0049,-0.0066
199007,7,1990,-0.0252,-0.0483,-0.0085,-0.0336,-0.0355,-0.0064,-0.0062,0.0093,-0.0090,0.0022,0.0036,0.0011,-0.0123,-0.0073,-0.0169,-0.0169,-0.0169,-0.0093,-0.0640,-0.0281,-0.0094,-0.0187,-0.0094,-0.0113,-0.0073,-0.0073,-0.0047,-0.0158,-0.0129,-0.0007,0.0097,-0.0047,-0.0043,0.0021,0.0021,-0.0203,0.0021,0.0021,-0.0045,0.0132,-0.0136,-0.0237,-0.0035,-0.0035,-0.0035,0.0084,0.0029,-0.0284,-0.0066,-0.0172,0.0051,-0.0151,-0.0101,-0.0083,-0.0035
199008,8,1990,-0.1089,-0.1015,-0.0587,-0.0921,-0.0966,-0.0784,-0.0894,-0.0514,-0.0939,-0.0761,-0.0402,-0.0831,-0.0987,-0.0765,-0.0787,-0.0787,-0.0787,-0.0867,-0.1397,-0.1024,-0.0718,-0.0779,-0.0718,-0.0980,-0.0880,-0.0880,-0.0839,-0.0929,-0.0826,-0.0801,-0.0856,-0.0872,-0.1223,-0.0605,-0.0605,-0.0714,-0.0605,-0.0605,-0.0859,-0.0604,-0.0888,-0.1018,-0.0871,-0.0871,-0.0871,-0.0415,-0.0761,-0.0878,-0.0917,-0.0906,-0.0763,-0.0908,-0.0882,-0.0857,-0.0903
199009,9,1990,-0.0457,-0.0723,-0.0215,-0.0568,-0.0548,-0.0262,-0.0400,-0.0361,-0.0487,-0.0377,0.0015,-0.0430,-0.0568,-0.0463,-0.0792,-0.0792,-0.0792,-0.0527,-0.1109,-0.0674,-0.0448,-0.0419,-0.0448,-0.0635,-0.0361,-0.0361,-0.0462,-0.0512,-0.0458,-0.0451,-0.0488,-0.0547,-0.0625,-0.0502,-0.0502,-0.0533,-0.0502,-0.0502,-0.0504,-0.0449,-0.0627,-0.0616,-0.0536,-0.0536,-0.0536,-0.0046,-0.0713,-0.0302,-0.0237,-0.0772,-0.0442,-0.0584,-0.0544,-0.0739,-0.0489
199010,10,1990,-0.0208,-0.0150,-0.0040,-0.0108,-0.0172,0.0036,0.0048,-0.0202,-0.0236,-0.0025,0.0284,-0.0328,-0.0201,-0.0028,0.0000,0.0000,0.0000,-0.0036,-0.0416,-0.0072,-0.0108,0.0051,-0.0108,-0.0124,0.0000,0.0000,-0.0079,-0.0104,-0.0281,0.0008,-0.0094,-0.0448,0.0074,-0.0214,-0.0214,-0.0265,-0.0214,-0.0214,-0.0074,-0.0420,-0.0325,-0.0405,-0.0259,-0.0259,-0.0259,0.0056,-0.0541,-0.0530,-0.0237,-0.0153,0.0004,-0.0121,-0.0224,-0.0576,-0.0041
199011,11,1990,0.0759,0.1041,0.0475,0.0621,0.0870,0.0479,0.0758,0.0529,0.0486,0.0511,0.0138,0.0790,0.0852,0.0462,0.0877,0.0877,0.0877,0.0819,0.0764,0.0855,0.0441,0.0593,0.0441,0.0757,0.0589,0.0589,0.0664,0.0671,0.0477,0.0504,0.0325,0.0711,0.1134,0.0804,0.0804,0.0668,0.0804,0.0804,0.0620,0.0551,0.0924,0.0905,0.0559,0.0559,0.0559,0.0222,0.0876,0.0529,0.0695,0.0665,0.0578,0.0725,0.0787,0.0978,0.0644
199012,12,1990,0.0271,0.0449,0.0248,0.0295,0.0391,0.0371,0.0380,0.0170,0.0293,0.0215,0.0072,0.0248,0.0352,0.0190,0.0350,0.0350,0.0350,0.0430,0.0633,0.0503,0.0208,0.0394,0.0208,0.0310,0.0361,0.0361,0.0275,0.0305,0.0199,0.0241,0.0183,0.0590,0.0445,0.0458,0.0458,0.0461,0.0458,0.0458,0.0249,0.0220,0.0556,0.0531,0.0290,0.0290,0.0290,0.0106,0.0600,0.0645,0.0340,0.0333,0.0263,0.0383,0.0348,0.0254,0.0272
199101,1,1991,0.0668,0.0812,0.0343,0.0740,0.0899,0.0523,0.0374,0.0556,0.0562,0.0458,-0.0043,0.0564,0.0565,0.0500,0.0837,0.0837,0.0837,0.0592,0.1137,0.1077,0.0645,0.0974,0.0645,0.0699,0.0585,0.0585,0.0446,0.0657,0.0498,0.0285,0.0463,0.0696,0.0628,0.0398,0.0398,0.0552,0.0398,0.0398,0.0419,0.0469,0.0695,0.0556,0.0330,0.0330,0.0330,0.0055,0.0884,0.0496,0.0623,0.0666,0.0344,0.0747,0.0652,0.0778,0.0435
199102,2,1991,0.0562,0.0733,0.0383,0.0644,0.0764,0.0628,0.0446,0.0810,0.0723,0.0599,0.0314,0.0684,0.0664,0.0538,0.0525,0.0525,0.0525,0.0616,0.0972,0.0692,0.0657,0.0756,0.0657,0.0868,0.0692,0.0692,0.0688,0.0755,0.0616,0.0673,0.0529,0.0921,0.0994,0.0672,0.0672,0.0648,0.0672,0.0672,0.0755,0.0784,0.0782,0.0948,0.0773,0.0773,0.0773,0.0370,0.1049,0.0689,0.0673,0.0574,0.0702,0.0699,0.0618,0.0941,0.0712
199103,3,1991,-0.0012,0.0287,0.0065,0.0019,0.0175,0.0024,0.0239,-0.0012,0.0202,0.0130,0.0083,0.0218,0.0040,0.0050,0.0499,0.0499,0.0499,0.0459,0.0679,0.0236,0.0228,0.0586,0.0228,0.0340,0.0085,0.0085,0.0211,0.0222,0.0104,0.0189,0.0265,0.0310,0.0587,0.0274,0.0274,0.0082,0.0274,0.0274,0.0236,-0.0021,0.0182,0.0402,0.0206,0.0206,0.0206,0.0137,0.0481,0.0329,0.0383,0.0235,0.0237,0.0637,0.0510,0.0413,0.0241
199104,4,1991,0.0017,0.0034,0.0120,0.0043,0.0014,0.0000,0.0027,-0.0200,-0.0002,-0.0021,0.0034,-0.0043,0.0073,0.0017,-0.0158,-0.0158,-0.0158,-0.0042,0.0221,0.0125,0.0011,0.0055,0.0011,0.0037,0.0054,0.0054,0.0025,0.0036,0.0088,-0.0007,-0.0107,0.0048,-0.0044,0.0040,0.0040,0.0140,0.0040,0.0040,0.0101,0.0000,0.0007,0.0265,0.0033,0.0033,0.0033,0.0014,0.0019,0.0050,-0.0099,-0.0035,0.0019,-0.0120,-0.0117,-0.0070,0.0020
199105,5,1991,0.0389,0.0402,0.0386,0.0519,0.0432,0.0442,0.0426,0.0306,0.0430,0.0419,-0.0021,0.0538,0.0608,0.0259,0.0442,0.0442,0.0442,0.0398,0.0582,0.0598,0.0505,0.0638,0.0505,0.0570,0.0365,0.0365,0.0415,0.0559,0.0628,0.0404,0.0308,0.0389,0.0554,0.0310,0.0310,0.0346,0.0310,0.0310,0.0428,0.0369,0.0425,0.0440,0.0390,0.0390,0.0390,0.0210,0.0292,0.0489,0.0367,0.0431,0.0435,0.0485,0.0397,0.0200,0.0427
199106,6,1991,-0.0380,-0.0699,-0.0329,-0.0494,-0.0730,-0.0491,-0.0398,-0.0520,-0.0593,-0.0433,-0.0089,-0.0582,-0.0648,-0.0399,-0.0398,-0.0398,-0.0398,-0.0535,-0.0703,-0.0656,-0.0554,-0.0561,-0.0554,-0.0588,-0.0426,-0.0426,-0.0456,-0.0546,-0.0608,-0.0425,-0.0494,-0.0398,-0.0461,-0.0413,-0.0413,-0.0574,-0.0413,-0.0413,-0.0473,-0.0662,-0.0576,-0.0430,-0.0377,-0.0377,-0.0377,-0.0301,-0.0490,-0.0359,-0.0458,-0.0601,-0.0439,-0.0552,-0.0468,-0.0601,-0.0456
199107,7,1991,0.0441,0.0584,0.0254,0.0415,0.0600,0.0449,0.0329,0.0470,0.0547,0.0453,0.0291,0.0683,0.0363,0.0444,0.0508,0.0508,0.0508,0.0458,0.0715,0.0663,0.0448,0.0708,0.0448,0.0621,0.0345,0.0345,0.0450,0.0542,0.0518,0.0527,0.0567,0.0291,0.0188,0.0444,0.0444,0.0595,0.0444,0.0444,0.0444,0.0564,0.0522,0.0362,0.0289,0.0289,0.0289,0.0269,0.0505,0.0303,0.0461,0.0476,0.0432,0.0486,0.0648,0.0659,0.0463
199108,8,1991,0.0274,0.0242,0.0204,0.0120,0.0154,0.0181,0.0136,0.0025,0.0255,0.0217,0.0215,0.0315,0.0185,0.0352,0.0242,0.0242,0.0242,0.0263,0.0244,0.0339,0.0165,0.0503,0.0165,0.0307,0.0133,0.0133,0.0227,0.0223,0.0239,0.0254,0.0352,0.0118,0.0378,0.0225,0.0225,0.0292,0.0225,0.0225,0.0221,0.0198,0.0276,0.0312,0.0161,0.0161,0.0161,0.0205,0.0371,0.0158,0.0287,0.0190,0.0318,0.0343,0.0259,0.0379,0.0233
199109,9,1991,-0.0331,-0.0082,-0.0043,-0.0047,-0.0049,-0.0017,0.0020,-0.0075,-0.0255,-0.0152,0.0237,0.0000,-0.0147,-0.0118,-0.0099,-0.0099,-0.0099,-0.0334,0.0075,-0.0169,-0.0086,0.0028,-0.0086,-0.0038,-0.0168,-0.0168,-0.0121,-0.0251,-0.0330,-0.0222,0.0093,-0.0029,-0.0145,-0.0220,-0.0220,0.0066,-0.0220,-0.0220,-0.0173,-0.0100,-0.0051,-0.0144,-0.0058,-0.0058,-0.0058,0.0024,-0.0223,0.0181,-0.0025,-0.0102,-0.0139,-0.0040,0.0022,-0.0006,-0.0167
