date,SMB,HML,RMW,CMA,RF,MOM
198912,-0.023,0.0021,-0.0006,0.0144,0.0061,0.0279
199001,-0.0132,0.0078,-0.0113,0.0132,0.0057,-0.0328
199002,0.0119,0.0065,-0.002,-0.0064,0.0057,-0.0053
199003,0.0166,-0.0303,0.0218,-0.0103,0.0064,0.0164
199004,-0.0039,-0.0247,0.0172,-0.0097,0.0069,0.0243
199005,-0.0239,-0.0389,0.0163,-0.0157,0.0068,0.0305
199006,0.0137,-0.0199,-0.0105,-0.0034,0.0063,0.0243
199007,-0.0326,-0.0011,-0.0026,0.031,0.0068,0.0594
199008,-0.0385,0.0163,-0.0043,0.0299,0.0066,0.0176
199009,-0.0378,0.0071,-0.0015,0.0371,0.006,0.0556
199010,-0.051,0.0019,0.0283,-0.0049,0.0068,0.0673
199011,-0.0004,-0.0321,0.0083,-0.0475,0.0057,-0.0562
199012,0.0059,-0.0172,0.0284,-0.02,0.006,0.0002
199101,0.0386,-0.0174,0.0156,-0.0408,0.0052,-0.0655
199102,0.0397,-0.0055,-0.0025,-0.0016,0.0048,-0.0475
199103,0.0385,-0.0132,-0.0037,-0.0099,0.0044,0.0276
199104,0.0032,0.0148,0.0052,0.0071,0.0053,-0.024
199105,0.0016,-0.0057,0.021,-0.0245,0.0047,-0.0009
199106,0.0018,0.0123,0.0175,0.0063,0.0042,0.0046
199107,-0.0096,-0.0125,0.016,-0.0141,0.0049,0.0434
199108,0.0144,-0.0083,0.0087,-0.0055,0.0046,0.0163
199109,0.0156,-0.0098,-0.0181,0.0016,0.0046,0.0173
199110,0.0094,-0.0047,-0.0173,-0.0029,0.0042,0.0322
199111,-0.0087,-0.0185,0.0106,0.0012,0.0039,0.0126
199112,-0.0242,-0.0411,0.0357,-0.0312,0.0038,0.083
199201,0.0926,0.0461,-0.0133,0.0315,0.0034,-0.0251
199202,0.0135,0.0637,0.0011,0.0204,0.0028,-0.0058
199203,-0.009,0.0361,-0.001,0.0193,0.0034,-0.0036
199204,-0.0573,0.0427,0.0169,0.0222,0.0032,-0.0254
199205,0.0022,0.0125,-0.0098,0.0043,0.0028,0.0013
199206,-0.0271,0.0336,-0.0005,0.0107,0.0032,-0.0061
199207,-0.0061,-0.0037,0.014,-0.0072,0.0031,0.0144
199208,-0.0043,-0.0106,0.0373,-0.0162,0.0026,-0.0051
199209,0.005,-0.0028,0.0163,-0.005,0.0026,0.0143
199210,0.0203,-0.0201,0.013,-0.008,0.0023,0.0271
199211,0.0393,-0.014,-0.0077,-0.0191,0.0023,-0.0034
199212,0.0164,0.0263,-0.0041,0.0075,0.0028,0.0444
199301,0.0207,0.0592,-0.0173,0.0278,0.0023,0.0483
199302,-0.0347,0.0641,-0.0059,0.0405,0.0022,0.031
199303,0.0006,0.0131,-0.0014,0.0092,0.0025,0.0374
199304,-0.0086,0.0252,-0.0358,0.0152,0.0024,0.0033
199305,0.019,-0.0345,0,-0.0118,0.0022,0.003
199306,0.0011,0.0272,-0.0097,0.0109,0.0025,0.0457
199307,0.0089,0.0282,-0.0184,0.0203,0.0024,0.0325
199308,0.0013,0.0013,-0.0159,-0.0004,0.0025,0.0258
199309,0.0298,-0.0025,0.0026,-0.0008,0.0026,0.0341
199310,0.019,-0.0272,0.0055,0.0059,0.0022,-0.0267
199311,-0.0126,-0.0077,0.0225,-0.0096,0.0025,-0.0471
199312,0.0139,0.0036,0.0113,-0.0032,0.0023,0.0228
199401,-0.0001,0.0113,-0.0159,0.0145,0.0025,0.0002
199402,0.0266,-0.0159,0.022,-0.0103,0.0021,-0.0029
199403,-0.0111,0.0163,0.0055,0.0127,0.0027,-0.0133
199404,-0.0106,0.0166,0.0111,0.0112,0.0027,0.0041
199405,-0.0252,0.0066,0.0066,0.007,0.0031,-0.0215
199406,-0.0052,0.0172,0.0115,0.0153,0.0031,-0.0082
199407,-0.0184,0.0056,-0.0063,0.0011,0.0028,0.0019
199408,0.0134,-0.0247,0.009,-0.0145,0.0037,0.0156
199409,0.0278,-0.0187,0.0051,0.0093,0.0037,0.0133
199410,-0.023,-0.0166,0.0022,-0.0062,0.0038,0.0143
199411,0.0009,-0.0069,0.0045,-0.0044,0.0037,-0.002
199412,0.0007,-0.002,0.005,0.0031,0.0044,0.035
199501,-0.0311,0.0254,0.0009,-0.0083,0.0042,-0.0182
199502,-0.0052,0.0112,0.0061,-0.0033,0.004,-0.0036
199503,-0.0051,-0.0215,-0.0009,0.0016,0.0046,0.0038
199504,-0.0029,0.0171,0.0024,0.01,0.0044,0.018
199505,-0.022,0.0223,0.0037,0.0009,0.0054,-0.0044
199506,0.0303,-0.025,-0.0033,-0.0244,0.0047,0.029
199507,0.0207,-0.0163,0.0028,-0.0171,0.0045,0.0253
199508,0.0178,0.0284,-0.0117,0.0164,0.0047,0.0009
199509,-0.0197,0.0002,0.0106,0.0036,0.0043,0.0271
199510,-0.0409,-0.0046,0.0184,-0.0003,0.0047,0.0411
199511,-0.0114,0.0061,-0.0054,0.0119,0.0042,-0.0065
199512,0.0069,0.0033,-0.0135,0.0299,0.0049,0.0254
199601,-0.0249,0.0022,0.0013,0.0227,0.0043,0.0057
199602,0.0176,-0.0116,0.0024,-0.018,0.0039,0.0057
199603,0.0163,0.0031,0.0146,-0.0097,0.0039,-0.0188
199604,0.047,-0.0408,-0.0014,-0.022,0.0046,-0.0091
199605,0.0313,-0.008,0.0015,-0.0022,0.0042,0.0155
199606,-0.0357,0.0226,0.0334,0.0109,0.004,0.0101
199607,-0.0382,0.0516,0.0295,0.0259,0.0045,-0.0011
199608,0.0258,-0.0078,-0.0041,-0.0242,0.0041,-0.0005
199609,-0.0137,-0.0276,0.0124,-0.0218,0.0044,0.027
199610,-0.0384,0.0492,0.0152,0.0297,0.0042,0.0391
199611,-0.0382,0.0146,0.0205,-0.0073,0.0041,-0.0223
199612,0.0316,0.0133,0.0041,0.0152,0.0046,0.0061
199701,-0.0185,-0.0143,0.0123,-0.0028,0.0045,0.0195
199702,-0.0266,0.057,0.0067,0.0341,0.0039,-0.0205
199703,-0.005,0.0343,0.0046,0.0166,0.0043,0.0096
199704,-0.0572,0.0009,0.0336,-0.009,0.0043,0.0492
199705,0.0474,-0.0408,-0.0103,-0.0291,0.0049,-0.0516
199706,0.0117,0.0162,0.0061,0.0055,0.0037,0.0262
